Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
profissional de apoio escolar,Informational,1000,34,0.11,"Featured snippet, Reviews, People also ask, Related searches"
apoio escolar,Informational,720,21,0.19,"Sitelinks, Reviews, People also ask, Local pack, Related searches"
agente de apoio escolar,Informational,590,21,0.00,"Reviews, People also ask, Related searches"
auxiliar de desenvolvimento e apoio escolar,Informational,390,16,0.00,"Reviews, People also ask, Related searches"
agente de apoio escolar o que faz,Informational,320,24,0.00,"Featured snippet, People also ask, Related searches"
professor de apoio autismo escola particular,Informational,320,15,0.41,"Reviews, People also ask, Related searches"
faetec fundação apoio escola tec rio de janeiro,Navigational,260,29,0.00,"Sitelinks, Reviews, Video, People also ask, Local pack, Related searches"
fundação de apoio à escola técnica,Navigational,260,30,0.00,"Sitelinks, Reviews, Video, People also ask, Local pack, Related searches, See results about"
assej apoio escolar,Transactional,210,23,0.00,"Reviews, Image pack, Video, Related searches"
escola apoio,Informational,210,15,0.00,"Reviews, Image, Image pack, Video, Local pack, Related searches"
profissional de apoio escolar salário,Informational,210,22,0.00,"Featured snippet, People also ask, Related searches"
agente de apoio escolar prova e gabarito,Informational,170,21,0.00,"Reviews, People also ask, Related searches"
apoio escola,Informational,170,10,0.24,"Sitelinks, Reviews, Image pack, People also ask, Local pack, Related searches"
o que faz um agente de apoio escolar,Informational,170,18,0.00,"Featured snippet, People also ask, Related searches"
professor de apoio autismo escola pública,Informational,170,30,0.00,"Featured snippet, Sitelinks, People also ask, Related searches"
simulado prova agente de apoio escolar,Informational,170,19,0.06,"Reviews, People also ask, Related searches"
mensagem de agradecimento a família pelo apoio na escola,Informational,140,18,0.00,"Image, Image pack, Video, People also ask, Related searches"
profissional de apoio escolar para alunos com deficiencia,Informational,140,33,0.36,"Featured snippet, Video, People also ask, Related searches"
profissional de apoio escolar salario,Informational,140,26,0.00,"Featured snippet, People also ask, Related searches"
quem pode ser profissional de apoio escolar,Informational,140,31,0.00,"Featured snippet, People also ask, Related searches"
agente de apoio a inclusão escolar,Informational,110,21,0.00,"Featured snippet, Video, People also ask, Related searches"
agente de apoio escolar diadema,Informational,110,18,0.11,"Reviews, Image pack, People also ask, Related searches"
apoio escolar o que faz,Informational,110,27,0.00,"Featured snippet, Reviews, Video, People also ask, Related searches"
apoio escolar o que fazer,Informational,110,19,0.00,"Reviews, People also ask, Related searches"
auxiliar de desenvolvimento e apoio escolar o que faz,Informational,110,17,0.00,"Featured snippet, Reviews, People also ask, Related searches"
curso de profissional de apoio escolar gratuito,Informational,110,15,0.13,"Featured snippet, Reviews, Image pack, Video, Related searches"
profissional de apoio escolar mec,Informational,110,27,0.15,"Reviews, Video, People also ask, Related searches"
são consideradas atribuições do profissional de apoio escolar,Informational,110,28,0.00,"Featured snippet, People also ask, Related searches"
vaga auxiliar de apoio escolar rj,Commercial,110,18,0.00,"Reviews, Image pack, People also ask, Jobs, Related searches"
agente de apoio escolar diadema 2024,Informational,90,18,0.09,"Reviews, Video, People also ask, Related searches"
auxiliar de apoio escolar,Informational,90,28,0.00,"Featured snippet, Reviews, People also ask, Related searches"
conhecimentos específicos agente de apoio escolar,Informational,90,19,0.08,"Reviews, Video, People also ask, Related searches"
curso de apoio escolar,Informational,90,9,0.13,"Reviews, Video, People also ask, Related searches"
curso de apoio escolar gratuito,Informational,90,9,0.13,"Reviews, Image pack, Video, People also ask, Related searches"
escola apoio educação infantil,Informational,90,26,0.00,"Sitelinks, Video, People also ask, Knowledge panel, Related searches"
falta de apoio familiar na escola,Informational,90,18,0.48,"Sitelinks, Reviews, Video, People also ask, Related searches"
lbi profissional de apoio escolar,Informational,90,27,0.00,"Featured snippet, Reviews, Video carousel, People also ask, Related searches"
o que é agente de apoio escolar,Informational,90,17,0.00,"Featured snippet, Reviews, People also ask, Related searches"
agente de apoio ao desenvolvimento escolar especial,,70,,0.00,
agente de apoio escolar caraguatatuba 2023,,70,,0.00,
apostila para agente de apoio escolar grátis,,70,,0.00,
conhecimentos especificos agente de apoio escolar,,70,,0.00,
curso apoio escolar mec,,70,,0.16,
curso profissional de apoio escolar,,70,,0.18,
instituto escola de apoio profissional e organizacional,,70,,0.00,
lei profissional de apoio escolar,,70,,0.39,
o que faz um profissional de apoio escolar,,70,,0.00,
profissional de apoio escolar legislação,,70,,0.00,
profissional de apoio escolar lei,,70,,0.00,
profissional de apoio escolar o que faz,,70,,0.00,
profissional de apoio escolar para alunos com deficiência,,70,,0.47,
pss apoio escolar,,70,,0.00,
