Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
psicopedagogia,Informational,40500,50,0.39,"Featured snippet, Sitelinks, Reviews, Video carousel, People also ask"
psicopedagoga,Informational,18100,37,0.33,"Featured snippet, Sitelinks, Reviews, People also ask, Local pack, Related searches, See results about, Ads bottom"
o que faz psicopedagogia,Informational,5400,31,0.10,"Featured snippet, Reviews, Image pack, Video, People also ask, Related searches"
psicopedagogia o que é,Informational,5400,32,0.14,"Featured snippet, Reviews, Image pack, People also ask, Related searches"
o que faz um psicopedagogo,Informational,4400,30,0.10,"Featured snippet, Reviews, Image pack, Video, People also ask, Related searches"
psicopedagogo,Informational,4400,26,0.33,"Featured snippet, Reviews, Video, People also ask, Local pack, Related searches, See results about"
o que faz o psicopedagogo,Informational,3600,29,0.10,"Featured snippet, Sitelinks, Reviews, Image pack, Video, People also ask, Related searches, See results about"
o que um psicopedagogo faz,Informational,3600,29,0.12,"Featured snippet, Sitelinks, Reviews, Image pack, Video, People also ask, Related searches, See results about"
pos graduação psicopedagogia,Informational,3600,23,0.81,"Reviews, People also ask"
psicopedagogia pós graduação,Informational,3600,26,0.81,"Reviews, Video, People also ask, Related searches"
o que é psicopedagogia,Informational,2900,29,0.09,"Featured snippet, Reviews, Image pack, People also ask, Related searches"
pos em psicopedagogia,Informational,2900,22,0.80,"People also ask, Related searches"
psicopedagogia o que faz,Informational,2900,29,0.10,"Featured snippet, Reviews, Image pack, Video, People also ask, Related searches"
psicopedagogia salário,Informational,2900,30,0.25,"Featured snippet, Reviews, Video, People also ask, Related searches"
pós graduação em psicopedagogia,Informational,2900,19,0.81,"Reviews, Image, People also ask, Related searches"
pós psicopedagogia,Informational,2900,23,0.80,"People also ask, Related searches"
psicopedagogia clinica,Informational,2400,20,0.43,"Reviews, Video, People also ask, Local pack, Related searches"
psicopedagogia clinica e institucional,Informational,2400,15,0.50,"Reviews, Video, People also ask, Related searches, See results about"
dia do psicopedagogo,Informational,1900,31,0.00,"Featured snippet, Reviews, Image pack, Video, People also ask, Top stories"
pos graduacao em psicopedagogia,Informational,1900,21,0.81,"Reviews, People also ask, Related searches"
pos graduacao psicopedagogia,Informational,1900,26,0.81,"Reviews, People also ask, Related searches, Ads bottom"
psicopedagogia graduação,Informational,1900,26,0.47,"Featured snippet, Reviews, People also ask, Related searches"
psicopedagogia salario,Informational,1900,30,0.25,"Featured snippet, Reviews, People also ask, Related searches"
