Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
reforço escolar,Commercial,12100,30,0.28,"Reviews, Image, Image pack, Video, People also ask, Local pack, Related searches"
reforco escolar,Commercial,2900,23,0.28,"Reviews, Image, Video, People also ask, Local pack, Related searches"
aulas de reforço escolar,Commercial,2400,27,0.27,"Reviews, Video, People also ask, Local pack, Related searches"
aula de reforço escolar,Commercial,1600,27,0.27,"Reviews, Video, People also ask, Local pack, Related searches, Ads bottom"
mochila escolar reforçada,Informational,1600,27,0.06,"Reviews, Image, Image pack, People also ask, Related searches"
mochila escolar masculina reforçada,Informational,1300,27,0.05,"Reviews, Image, Video, People also ask, Related searches, Ads bottom"
mochilas escolares masculinas reforçadas,Informational,1300,26,0.05,"Reviews, Image, Image pack, People also ask, Related searches"
mochila escolar feminina reforçada,Informational,1000,26,0.05,"Reviews, Image, Image pack, People also ask, Related searches"
reforço escolar infantil,Commercial,1000,19,0.27,"Image pack, Video, People also ask, Local pack, Related searches"
reforço escolar 1 ao 5 ano,Informational,880,20,0.19,"Reviews, Image, Image pack, Video, People also ask, Related searches"
mochila escolar reforcada,"Informational, Transactional",720,25,0.06,"Reviews, Image, Image pack, Video, People also ask, Related searches"
mochila feminina escolar reforçada,Informational,590,24,0.05,"Reviews, Image, Image pack, Video, People also ask"
mochila reforçada escolar,"Informational, Transactional",590,26,0.06,"Reviews, Image, Image pack, Video, People also ask, Related searches"
aula de reforco escolar,Transactional,480,26,0.26,"Reviews, Video, People also ask, Local pack, Related searches"
reforço escolar alfabetização,Informational,480,36,0.22,"Featured snippet, Reviews, Image, Image pack, Video, People also ask, Related searches"
reforço escolar online,Informational,480,24,0.30,"Reviews, Image pack, Video, People also ask, Related searches"
reforço escolar png,Informational,480,26,0.00,"Reviews, Image, Image pack, Related searches"
caderno de reforço escolar 3 ano pdf,Informational,390,7,0.14,"Reviews, Image, Video, Related searches"
cartaz de reforço escolar para editar,Informational,390,36,0.00,"Reviews, Image, Image pack, Video, People also ask, Related searches"
escola de reforco,Commercial,390,24,0.23,"Reviews, Image, People also ask, Local pack, Related searches"
mochila escolar reforçada feminina,"Informational, Transactional",390,25,0.05,"Reviews, Image, Image pack, People also ask, Related searches"
